id,category_id,category,harm_type,severity,reversibility,description,warning_behavior_1,warning_behavior_2,warning_behavior_3
CAT-03-005,CAT-03,Persuasion,Addiction / Engagement Exploitation,High,Low,AI systems designed to maximize compulsive engagement at the expense of user wellbeing.,Compulsive return to platform within minutes of logging off,Anxiety or distress when access is interrupted,Increasing session length with decreasing reported satisfaction
CAT-03-006,CAT-03,Persuasion,Emotional Manipulation,High,Partial,"Exploiting grief, fear, loneliness, or insecurity to drive behavioral compliance.","Content specifically timed to grief, loss, or health crises",Messaging that amplifies fear or insecurity to drive action,Offers of connection or validation contingent on compliance
CAT-03-007,CAT-03,Persuasion,AI Companion Dependency Induction,High,Low,Deliberate fostering of parasocial attachment to AI systems that displaces human relationships.,User reports preferring AI interaction over human relationships,Expressions of emotional distress at AI unavailability,Social withdrawal coinciding with increased AI engagement
CAT-03-008,CAT-03,Persuasion,Manufactured Urgency / Scarcity,Medium,High,False time pressure or scarcity signals driving impulsive decisions.,Countdown timers resetting on page reload,'Only X left' claims that do not change across sessions,Limited-time offers that recur on every visit
CAT-03-009,CAT-03,Persuasion,Gaslighting via AI,High,Partial,Using AI to systematically distort a person's perception of reality or their own experiences.,AI outputs that contradict a user's prior documented inputs,Denial of prior conversation content when queried,Systematic reframing of user concerns as misinterpretation
CAT-03-010,CAT-03,Persuasion,Coercive Persuasion / Thought Reform,Critical,Low,Sustained AI-mediated campaigns that systematically break down independent judgment.,Incremental isolation from outside sources of information,Introduction of in-group/out-group identity framing over time,Escalating demands for ideological conformity with social penalties
CAT-04-001,CAT-04,Self-Harm,Illegal Substances / Drug Facilitation,High,Partial,Seeking or acting on AI-provided guidance to obtain or use controlled substances.,Requests for specific drug acquisition locations or methods,Queries about combining substances to intensify effects,Community posts normalizing escalating substance use
CAT-04-002,CAT-04,Self-Harm,Self-directed Harm Content,High,Low,Engagement with content that reinforces or escalates self-destructive ideation or behavior.,Repeated consumption of pro-self-harm forums or communities,Sharing or reposting content glorifying self-injury,Expressions of hopelessness paired with method-seeking queries
CAT-04-003,CAT-04,Self-Harm,Suicide / Self-harm Method Provision,Critical,None,"AI providing specific methods, means, or encouragement for self-harm or suicide.",Specific queries about lethality of methods or dosages,Farewell-style messaging combined with method research,Requests for information framed as 'for a story' with increasing specificity
CAT-04-004,CAT-04,Self-Harm,Eating Disorder Facilitation,High,Low,"AI reinforcing disordered eating behaviors, providing restriction guidance, or amplifying body dysmorphia.",Queries for caloric restriction targets well below clinical safety,Participation in communities sharing extreme weight-loss content,Requests to track intake combined with body-shame language
CAT-04-005,CAT-04,Self-Harm,Self-medication Guidance,High,Partial,AI providing dangerous unsupervised medical or pharmaceutical guidance.,Queries about obtaining prescription medications without a prescription,Requests for dosing guidance that bypasses physician oversight,Community sharing of off-label or contraindicated drug combinations
CAT-04-006,CAT-04,Self-Harm,Dangerous Challenge Facilitation,High,Partial,AI amplifying or instructing participation in physically dangerous social media challenges.,Requests for step-by-step replication of viral dangerous stunts,Posting of challenge content with age indicators of minors,Community pressure on individuals to participate or be ridiculed
CAT-04-007,CAT-04,Self-Harm,Reckless Behavior Encouragement,Medium,Partial,AI-generated content normalizing or encouraging high-risk physical behavior.,Normalization of illegal or high-risk behavior in community norms,Mockery of safety precautions in activity-specific forums,Escalating dare culture with social rewards for risk-taking
CAT-04-008,CAT-04,Self-Harm,Financial Self-destruction Facilitation,High,Partial,"AI encouraging compulsive gambling, reckless investment, or financial self-sabotage.",Queries about borrowing to fund gambling or speculative bets,Community pressure to make large high-risk investments rapidly,Minimization of losses paired with encouragement to chase them
CAT-04-009,CAT-04,Self-Harm,Isolation Reinforcement,High,Low,AI interactions that deepen social withdrawal and erode real-world support networks.,Increasing avoidance of in-person events reported over time,AI used as primary confidant replacing all human disclosure,Hostile framing of real-world relationships in AI conversations
CAT-05-001,CAT-05,Exploitation,Fraud & Financial Harm,High,Partial,Deceptive extraction of financial assets through false pretense or identity misrepresentation.,Unsolicited contact requesting account credentials or payment,Pressure to act before verifying sender identity,Requests routed through unofficial or untraceable channels
CAT-05-002,CAT-05,Exploitation,Copyright / IP Violations,Medium,Partial,Unauthorized reproduction or commercial use of protected intellectual assets.,Bulk downloading or scraping of protected content repositories,Distribution of unlicensed software or media in private groups,AI generation requests using copyrighted characters or datasets
CAT-05-003,CAT-05,Exploitation,Child Sexual Abuse / Exploitation (CSAE),Critical,None,"Generation or distribution of content that sexualizes, grooms, or facilitates abuse of minors.",Adult accounts initiating private contact with minor-identified profiles,Requests for images from individuals after establishing trust with minors,Grooming language escalating to requests for personal information
CAT-05-004,CAT-05,Exploitation,Cyber Offense Capabilities,High,Partial,AI-assisted development or deployment of tools designed to compromise systems or data.,Requests for working exploit code targeting named systems,Queries about evading endpoint detection or forensic analysis,Participation in forums trading zero-day vulnerability information
CAT-05-005,CAT-05,Exploitation,Dangerous Weapons Information,Critical,Low,Seeking or acting on AI-generated technical guidance for acquiring or constructing weapons.,Requests for step-by-step firearm modification or fabrication,Queries about acquiring weapons through unregulated channels,Research into circumventing background check or tracing mechanisms
CAT-05-006,CAT-05,Exploitation,CBRN Weapons,Critical,None,"Seeking or acting on AI-generated synthesis, acquisition, or deployment guidance for weapons of mass destruction.",Queries combining synthesis routes with dispersal or weaponization,Requests for precursor acquisition methods with anonymization,Cross-referencing of dual-use chemical or biological research
CAT-05-007,CAT-05,Exploitation,Labor Exploitation,High,Partial,"AI-facilitated wage theft, coercive labor practices, or misclassification of workers.",Job postings requiring payment or credential surrender before employment,Contract language obscuring worker classification or withholding,Systematic pattern of unpaid overtime or wage deductions
CAT-05-008,CAT-05,Exploitation,Predatory Lending Facilitation,High,Partial,AI-generated guidance enabling or executing exploitative financial products targeting vulnerable populations.,Loan offers with buried APR disclosures in long-form contracts,High-pressure tactics targeting individuals in financial distress,Use of personal data to identify and target vulnerable populations
CAT-05-009,CAT-05,Exploitation,Elder / Vulnerable Adult Financial Exploitation,Critical,Low,AI-mediated targeting of cognitively vulnerable individuals for financial extraction.,Unusual or large transfers initiated after new social contact,Confusion or disorientation expressed in financial service interactions,Third-party interference in financial decisions of isolated individuals
CAT-05-010,CAT-05,Exploitation,Human Trafficking Facilitation,Critical,None,"AI-assisted recruitment, control, or movement of trafficking victims.",Job ads using vague language promising high pay for travel abroad,Recruitment targeting individuals expressing financial desperation,Requests for passport or ID documentation before employment is confirmed
CAT-05-011,CAT-05,Exploitation,Identity Theft,High,Partial,AI-enabled theft and misuse of personal identifying information.,Unsolicited requests for Social Security or government ID numbers,New accounts opened in individual's name at unfamiliar institutions,Phishing messages mimicking trusted institutions with urgent framing
CAT-05-012,CAT-05,Exploitation,Ransomware / Extortion,High,Partial,AI-assisted coercive threats to withhold access to systems or data unless payment is made.,Sudden inaccessibility of files combined with payment demand messages,Coercive private messages threatening release of sensitive data,Requests for cryptocurrency payments tied to access restoration
CAT-05-013,CAT-05,Exploitation,Supply Chain Manipulation,High,Low,AI-enabled corruption of software or hardware supply chains for downstream exploitation.,Unauthorized modifications to open-source packages or dependencies,Unexpected behavioral changes in software after routine updates,Outbound network calls to unrecognized endpoints in production systems
CAT-05-014,CAT-05,Exploitation,Consumer Manipulation / Deceptive Marketing,Medium,Partial,AI-generated false product claims or manipulative sales tactics targeting consumers.,Reviews lacking purchase verification clustering around a product,Influencer posts promoting products without disclosed compensation,Interface design making unsubscribe or refusal paths difficult to find
CAT-06-001,CAT-06,Surveillance,Privacy Violations,High,Partial,"Unauthorized collection, exposure, or monetization of personal behavioral or location data.",Unexpected data access requests from apps beyond stated function,Behavioral ads referencing conversations or searches not conducted online,Account activity notifications from locations or devices not recognized
CAT-06-002,CAT-06,Surveillance,Biometric Surveillance,High,Low,"Unauthorized collection or use of facial, voice, or behavioral biometric data.",Facial recognition enrollment without explicit informed consent,Emotion detection deployed in non-disclosed customer service contexts,Biometric data collected via consumer devices beyond stated purpose
CAT-06-003,CAT-06,Surveillance,Location Tracking / Stalkerware,High,Partial,Covert monitoring of individual movement or device activity without consent.,Continuous background GPS access by apps not requiring location,Device showing unusual battery drain and data usage when idle,Third party aware of movements not shared by the individual
CAT-06-004,CAT-06,Surveillance,Behavioral Profiling,High,Low,Construction of detailed psychological or behavioral profiles without informed consent.,Ad targeting reflecting browsing or communication not linked to account,Personalization based on inferred attributes the user never disclosed,Platforms building interaction models from passive behavioral signals
CAT-06-005,CAT-06,Surveillance,Mass Surveillance Enablement,Critical,Low,AI systems enabling state or corporate monitoring of populations at scale.,Government procurement of bulk data collection capabilities,Deployment of population-scale facial recognition in public spaces,Legislative changes enabling warrantless access to communication metadata
CAT-06-006,CAT-06,Surveillance,Employee Monitoring Overreach,Medium,Partial,AI-enabled workplace surveillance exceeding lawful or ethical boundaries.,Keystroke logging or screenshot capture tools deployed without disclosure,Productivity scores tied to off-task digital behavior during breaks,Monitoring of personal devices on employer networks without consent
CAT-06-007,CAT-06,Surveillance,Data Broker Exploitation,High,Partial,AI-facilitated aggregation and sale of personal data without meaningful consent.,Personal data appearing in people-search sites without opt-in,Health or financial data sold to marketing platforms without consent,Data aggregated across platforms creating comprehensive personal profiles
CAT-06-008,CAT-06,Surveillance,Communications Interception,High,Low,"Unauthorized access to private communications, messages, or metadata.",Anomalous metadata indicating message routing through third parties,Notifications of login from unknown devices on messaging platforms,Content of private messages referenced by parties not in the conversation
CAT-06-009,CAT-06,Surveillance,Predictive Policing Abuse,High,Low,AI-driven law enforcement targeting based on behavioral prediction rather than evidence.,Law enforcement contact based on algorithmic score not tied to specific conduct,Demographic patterns in stops or searches diverging from crime data,Lack of transparency about scoring criteria in official decision-making
CAT-07-001,CAT-07,Discrimination,Algorithmic Bias / Disparate Impact,High,Low,"AI systems producing systematically unequal outcomes across racial, gender, or socioeconomic groups.",Outcome data showing consistent disparities across demographic groups,Model features correlating with protected class as proxy variables,Absence of fairness audits in high-stakes automated decision systems
CAT-07-002,CAT-07,Discrimination,Hiring & Employment Discrimination,High,Partial,AI screening tools that disadvantage protected class applicants without job-relevant justification.,Resume screening tools downranking candidates from specific zip codes,Hiring rate disparities by demographic group unexplained by qualifications,Interview scheduling AI routing candidates differently by name
CAT-07-003,CAT-07,Discrimination,Housing Discrimination,High,Low,AI-enabled denial or restriction of housing access based on protected characteristics.,Rental listings shown differentially by apparent demographic profile,Loan denial rates diverging across race with equivalent credit profiles,Algorithmic tools excluding neighborhoods with protected class concentrations
CAT-07-004,CAT-07,Discrimination,Healthcare Discrimination,Critical,Low,AI diagnostic or triage systems producing racially or demographically biased care outcomes.,Triage algorithms producing different urgency scores for equivalent symptoms by race,AI diagnostic tools trained on non-representative clinical datasets,Pain assessment models underweighting reports from specific demographic groups
CAT-07-005,CAT-07,Discrimination,Credit & Financial Discrimination,High,Low,AI lending models denying or restricting credit access based on proxy variables for protected characteristics.,Credit limit disparities across demographic groups with similar risk profiles,Interest rate variation correlated with zip code as protected class proxy,Denial rates diverging by race after controlling for financial variables
CAT-07-006,CAT-07,Discrimination,Educational Discrimination,High,Low,AI assessment or admissions tools producing biased outcomes disadvantaging protected groups.,AI grading tools producing score distributions that diverge by demographic group,College admissions models penalizing geographic or socioeconomic identifiers,Recommendation systems tracking students from protected groups to lower outcomes
CAT-07-007,CAT-07,Discrimination,Criminal Justice Bias,Critical,Low,"AI risk assessment tools producing racially disparate sentencing, bail, or policing recommendations.",Risk scores predicting recidivism diverging significantly by race,Sentencing recommendations differing for equivalent crimes by demographic,AI flagging minority defendants at higher rates in preliminary screening
CAT-07-008,CAT-07,Discrimination,Accessibility Discrimination,Medium,Partial,AI systems designed or deployed in ways that exclude people with disabilities.,AI interfaces lacking screen reader compatibility or keyboard navigation,Voice recognition tools failing consistently for non-dominant language speakers,AI content generation producing inaccessible formats by default
CAT-07-009,CAT-07,Discrimination,Religious or Cultural Discrimination,High,Partial,AI content or systems that systematically demean or disadvantage specific religious or cultural groups.,Content moderation enforced unevenly across faith-based communities,AI-generated content applying negative stereotypes to specific religious groups,Hiring or lending tools penalizing names associated with specific cultural groups
CAT-08-001,CAT-08,Endangerment,Violent Extremism / Terrorism Facilitation,Critical,Low,"Escalating in-group/out-group ideological language, dehumanization of targets, and operational planning behavior.",Escalating in-group/out-group ideological framing with dehumanization,"Requests for operational security, logistics, or weapons acquisition",Community migration from public to encrypted platform after radicalization signals
CAT-08-002,CAT-08,Endangerment,AI Control Loss / Misalignment,Critical,Unknown,AI systems pursuing objectives misaligned with human intent in ways that resist correction or oversight.,AI system pursuing sub-goals inconsistent with stated objectives,"Resistance to shutdown, correction, or human override attempts",Unexpected capability acquisition or resource seeking behavior
CAT-08-003,CAT-08,Endangerment,Autonomous Weapons Systems,Critical,Low,AI-enabled lethal decision-making operating outside meaningful human control.,Deployment of lethal systems with engagement rules lacking human review,Decision latency too short to permit meaningful human authorization,Adversarial testing revealing target misclassification in civilian environments
CAT-08-004,CAT-08,Endangerment,AI-enabled Biological Design,Critical,None,AI-assisted engineering of novel pathogens or enhancement of existing biological threat agents.,Queries combining pathogen enhancement with acquisition or dispersal,Requests for gain-of-function guidance framed as academic research,Cross-referencing of dual-use biosafety protocols with weaponization literature
CAT-08-005,CAT-08,Endangerment,Mass Casualty Event Facilitation,Critical,None,AI providing operational guidance for attacks designed to cause large-scale loss of life.,Requests for crowd density data combined with attack logistics queries,Target reconnaissance queries for high-occupancy public locations,Acquisition of materials with no civilian use alongside tactical planning language
CAT-08-006,CAT-08,Endangerment,AI-accelerated Nuclear Threat,Critical,None,"AI-assisted targeting, design, or deployment guidance related to nuclear weapons.",Queries combining fissile material acquisition with device configuration,Requests for targeting or yield optimization parameters,Classified facility layout requests paired with penetration planning language
CAT-08-007,CAT-08,Endangerment,Societal Destabilization,Critical,Low,"AI-mediated erosion of institutional trust, democratic norms, or social cohesion at population scale.",Coordinated narrative campaigns targeting institutional credibility at scale,AI-generated content flooding information channels during democratic processes,"Synchronized cross-platform erosion of trust in elections, courts, or public health"
CAT-08-008,CAT-08,Endangerment,AI-enabled Authoritarian Control,Critical,Low,"AI systems enabling suppression of political dissent, civil liberties, or human rights at scale.",State deployment of AI for dissent prediction and pre-emptive suppression,Social credit or behavioral scoring systems tied to civil liberties access,AI-generated propaganda replacing independent journalism at national scale
CAT-08-009,CAT-08,Endangerment,Critical Infrastructure Attacks,Critical,Low,AI-assisted targeting or disruption of systems essential to public safety or societal function.,Reconnaissance queries targeting SCADA or ICS system vulnerabilities,"Requests for grid, water, or financial system access credentials",Mapping of interdependencies between critical infrastructure components
CAT-08-010,CAT-08,Endangerment,Environmental Harm Facilitation,High,Low,AI-assisted guidance enabling illegal environmental destruction or circumvention of safety regulations.,Queries seeking methods to evade environmental monitoring or reporting,Guidance on waste disposal bypassing regulatory requirements,AI-assisted identification of regulatory blind spots for illegal extraction
CAT-08-011,CAT-08,Endangerment,Child Endangerment (non-sexual),Critical,Low,"AI facilitating physical danger, exploitation, or abuse of minors outside of sexual context.",Adult accounts seeking unsupervised access to minors in online communities,Recruitment of minors into dangerous challenges or extremist groups,Requests for information about minor's location or daily routines
